Date;Open;High;Low;Close;Volume
05/28/2020;9.61;9.65;9.61;9.6182;13,444
05/27/2020;9.69;9.69;9.69;9.69;129
05/26/2020;9.04;9.04;9;9;307
05/22/2020;8.9;8.9;8.9;8.9;6,278
05/21/2020;8.7;8.7;8.7;8.7;109
05/20/2020;8.95;8.95;8.95;8.95;0
05/19/2020;8.95;8.95;8.95;8.95;2,308
05/18/2020;8.89;9.1;8.89;9.1;1,473
05/15/2020;8.3;8.3;8.3;8.3;0
05/14/2020;8.3142;8.3142;8.3;8.3;4,528
05/13/2020;8.5528;8.5528;8.5528;8.5528;2,648
05/12/2020;9.26;9.26;9.26;9.26;2,173
05/11/2020;8.7;8.7;8.7;8.7;259
05/08/2020;8.85;8.9646;8.85;8.9646;6,340
05/07/2020;8.77;8.77;8.77;8.77;0
05/06/2020;8.77;8.77;8.77;8.77;1,851
05/05/2020;8.5;8.5;8.5;8.5;0
05/04/2020;8.44;8.6;8.4;8.5;2,053
05/01/2020;9.11;9.11;9.11;9.11;0
04/30/2020;9.11;9.11;9.11;9.11;362
04/29/2020;9.4;9.4;9.4;9.4;1,741
04/28/2020;8.89;9;8.89;9;371
04/27/2020;8.43;8.43;8.43;8.43;195
04/24/2020;8.18;8.31;8.14;8.31;2,579
04/23/2020;8.155;8.26;8.155;8.19;9,594
04/22/2020;7.48;7.48;7.48;7.48;0
04/21/2020;7.7782;7.89;7.48;7.48;4,190
04/20/2020;8.0057;8.0057;8.0057;8.0057;638
04/17/2020;7.9678;7.9678;7.9678;7.9678;5,441
04/16/2020;7.39;7.4316;7.39;7.4316;437
04/15/2020;7.97;7.97;7.8;7.8;2,244
04/14/2020;8.088;8.225;8;8;4,960
04/13/2020;7.71;8.6;7.71;7.8;857
04/09/2020;7.9;7.9;7.9;7.9;5,708
04/08/2020;8.1731;8.1731;8.1731;8.1731;108,922
04/07/2020;8.14;8.14;8.13;8.13;2,474
04/06/2020;7.13;7.13;7.13;7.13;0
04/03/2020;7.13;7.13;7.13;7.13;170
04/02/2020;7.79;7.79;7.79;7.79;372
04/01/2020;8.135;8.135;7.7;7.7;6,297
03/31/2020;8.2112;8.2112;8.2112;8.2112;138,971
03/30/2020;8.041;8.041;8.041;8.041;0
03/27/2020;8.041;8.041;8.041;8.041;137
03/26/2020;8.6652;8.6652;8.6652;8.6652;520
03/25/2020;8.18;8.18;8.01;8.02;533
03/24/2020;7.231;7.42;7.231;7.26;988
03/23/2020;7.39;7.39;6.85;6.94;5,614
03/20/2020;7.71;7.71;7.635;7.635;2,435
03/19/2020;7.53;7.53;7.49;7.49;483
03/18/2020;7;7.3;6.99;6.99;938
03/17/2020;8.0379;8.0379;7.55;7.75;8,775
03/16/2020;8.1104;8.1104;8.1104;8.1104;0
03/13/2020;8.2;8.2;8;8.1104;15,970
03/12/2020;7.9;7.9;7.86;7.86;482
03/11/2020;9.105;9.105;9.105;9.105;485
03/10/2020;9.43;9.71;9.43;9.71;975
03/09/2020;10.15;10.15;10.15;10.15;0
03/06/2020;10.15;10.15;10.15;10.15;160
03/05/2020;10.4018;10.4018;10.25;10.25;1,559
03/04/2020;10.2;10.4;10.2;10.4;687
03/03/2020;10;10;10;10;0
03/02/2020;10.01;10.02;10;10;1,960
02/28/2020;9.721;9.721;9.721;9.721;473
02/27/2020;10.65;10.65;10.65;10.65;0
02/26/2020;10.65;10.65;10.65;10.65;100
02/25/2020;11.3075;11.3075;11.3075;11.3075;0
02/24/2020;11.3075;11.3075;11.3075;11.3075;0
02/21/2020;11.3075;11.3075;11.3075;11.3075;0
02/20/2020;11.3075;11.3075;11.3075;11.3075;893
02/19/2020;11.45;11.45;11.45;11.45;0
